Open,High,Low,Close,Volume,Dividends,Stock Splits
136.9600067138672,136.9600067138672,136.9600067138672,136.9600067138672,0,0.0,0.0
136.8699951171875,136.8699951171875,136.8699951171875,136.8699951171875,168,0.0,0.0
136.5,136.5,136.47999572753906,136.47999572753906,17,0.0,0.0
136.85000610351562,136.86000061035156,136.85000610351562,136.86000061035156,2,0.0,0.0
136.47999572753906,136.9499969482422,136.47999572753906,136.5,24,0.0,0.0
136.86000061035156,136.86000061035156,136.86000061035156,136.86000061035156,602,0.0,0.0
136.47999572753906,136.47999572753906,136.1199951171875,136.1199951171875,33,0.0,0.0
136.4499969482422,136.4499969482422,136.4499969482422,136.4499969482422,0,0.0,0.0
136.00999450683594,136.00999450683594,136.0,136.0,180,0.0,0.0
136.02999877929688,136.3800048828125,136.02000427246094,136.3800048828125,7,0.0,0.0
136.32000732421875,136.32000732421875,136.32000732421875,136.32000732421875,0,0.0,0.0
136.00999450683594,136.27999877929688,136.00999450683594,136.02999877929688,25,0.0,0.0
136.8300018310547,136.83999633789062,136.8300018310547,136.83999633789062,2,0.0,0.0
136.6699981689453,136.83999633789062,136.6300048828125,136.80999755859375,31,0.0,0.0
136.72000122070312,136.72000122070312,136.1300048828125,136.1300048828125,476,0.0,0.0
136.27000427246094,136.27000427246094,136.27000427246094,136.27000427246094,1,0.0,0.0
136.30999755859375,136.36000061035156,136.10000610351562,136.10000610351562,91,0.0,0.0
136.10000610351562,136.10000610351562,136.10000610351562,136.10000610351562,62,0.0,0.0
136.67999267578125,136.67999267578125,136.67999267578125,136.67999267578125,29,0.0,0.0
136.6999969482422,136.7100067138672,136.6999969482422,136.7100067138672,0,0.0,0.0
136.7100067138672,136.7100067138672,136.7100067138672,136.7100067138672,3,0.0,0.0
136.0500030517578,136.0500030517578,136.0,136.0,30,0.0,0.0
136.0,136.0,136.0,136.0,1,0.0,0.0
136.1699981689453,136.1699981689453,135.82000732421875,136.0,111,0.0,0.0
135.88999938964844,135.88999938964844,135.75,135.75,134,0.0,0.0
135.75,135.75,135.75,135.75,0,0.0,0.0
135.6999969482422,135.6999969482422,135.47000122070312,135.47000122070312,776,0.0,0.0
135.6999969482422,135.77999877929688,135.6999969482422,135.77999877929688,83,0.0,0.0
135.77999877929688,135.77999877929688,135.77999877929688,135.77999877929688,0,0.0,0.0
135.77999877929688,135.77999877929688,135.58999633789062,135.60000610351562,200,0.0,0.0
135.58999633789062,135.60000610351562,135.58999633789062,135.60000610351562,23,0.0,0.0
135.5,135.5,135.5,135.5,175,0.0,0.0
135.52999877929688,135.52999877929688,135.50999450683594,135.52000427246094,0,0.0,0.0
135.85000610351562,135.85000610351562,135.85000610351562,135.85000610351562,27,0.0,0.0
135.9499969482422,135.9499969482422,135.75,135.75,5,0.0,0.0
135.61000061035156,135.61000061035156,135.61000061035156,135.61000061035156,86,0.0,0.0
135.80999755859375,135.80999755859375,135.80999755859375,135.80999755859375,0,0.0,0.0
135.6300048828125,135.9600067138672,135.6300048828125,135.9600067138672,11,0.0,0.0
135.9600067138672,135.9600067138672,135.9600067138672,135.9600067138672,2,0.0,0.0
135.9600067138672,135.9600067138672,135.9600067138672,135.9600067138672,1,0.0,0.0
135.9600067138672,135.9600067138672,135.9600067138672,135.9600067138672,1,0.0,0.0
135.9600067138672,135.9600067138672,135.9600067138672,135.9600067138672,2,0.0,0.0
135.9600067138672,135.97000122070312,135.94000244140625,135.97000122070312,3,0.0,0.0
135.97000122070312,135.97000122070312,135.9499969482422,135.9499969482422,3,0.0,0.0
135.99000549316406,135.99000549316406,135.99000549316406,135.99000549316406,1,0.0,0.0
135.97000122070312,135.97000122070312,135.97000122070312,135.97000122070312,2,0.0,0.0
135.9499969482422,135.99000549316406,135.9499969482422,135.99000549316406,2,0.0,0.0
135.97000122070312,136.39999389648438,135.97000122070312,136.3699951171875,598,0.0,0.0
136.3699951171875,136.3699951171875,136.27000427246094,136.3699951171875,74,0.0,0.0
136.36000061035156,136.36000061035156,136.35000610351562,136.35000610351562,2,0.0,0.0
136.35000610351562,136.35000610351562,136.33999633789062,136.33999633789062,2,0.0,0.0
136.47000122070312,136.7100067138672,136.36000061035156,136.7100067138672,185,0.0,0.0
136.7100067138672,136.7100067138672,136.67999267578125,136.67999267578125,6,0.0,0.0
136.72999572753906,136.9600067138672,136.72999572753906,136.9600067138672,6,0.0,0.0
136.72000122070312,136.86000061035156,136.69000244140625,136.86000061035156,151,0.0,0.0
136.92999267578125,136.92999267578125,136.92999267578125,136.92999267578125,1,0.0,0.0
136.8699951171875,136.88999938964844,136.8699951171875,136.88999938964844,2,0.0,0.0
136.85000610351562,136.85000610351562,136.82000732421875,136.82000732421875,2,0.0,0.0
136.7899932861328,136.8800048828125,136.7899932861328,136.8800048828125,3,0.0,0.0
136.8800048828125,136.8800048828125,136.8800048828125,136.8800048828125,1,0.0,0.0
136.8800048828125,136.88999938964844,136.8800048828125,136.88999938964844,3,0.0,0.0
136.88999938964844,136.88999938964844,136.88999938964844,136.88999938964844,1,0.0,0.0
136.88999938964844,136.88999938964844,136.88999938964844,136.88999938964844,4,0.0,0.0
136.88999938964844,136.88999938964844,136.88999938964844,136.88999938964844,2,0.0,0.0
136.9600067138672,136.9600067138672,136.58999633789062,136.86000061035156,9,0.0,0.0
136.92999267578125,136.9600067138672,136.92999267578125,136.9600067138672,2,0.0,0.0
136.9499969482422,136.9499969482422,136.92999267578125,136.92999267578125,8,0.0,0.0
136.92999267578125,136.9499969482422,136.92999267578125,136.9499969482422,2,0.0,0.0
